	Root558	Root1252	Root16D2	Soil810	Root76	Root482	Root219	Root137	Root151	Root322	Root63	Root604	Root239	Root411	Root720	Root344	Root60	Root101	Root627	Soil805	Root179	Root224	Root444D2	Root122	Root682	Root695	Root487D2Y	Root79	Root180	Root154	Root68	Root413D1	Root335	Root491	Root267	Root107	Root630	Root274	Root131	Root1277	Soil756	Soil729	Root332	Root318D1	Soil772	Soil809	Soil748	Soil803	Root53	Soil535	Root189	Soil522	Root61	Soil782	Soil736	Soil728	Root342	Soil763	Root456	Root670	Root227	Root190	Soil761	Root343	Soil762	Soil797	Soil538	Root265	Root483D1	Root4	Root264	Soil750	Root112D2	Root1280	Root472D3	Root198D2	Root1220	Root22	Root136	Root268	Root700	Soil766	Root172	Root381	Root554	Root708	Root186	Soil768D1	Root81	Root1212	Soil745	Root420	Root401	Root690	Root569	Root565	Root562	Root170	Root920	Root329	Root157	Root369	Root635	Root123D2	Root901	Root9	Root336D2	Root564	Root685	Root83	Root436	Root1310	Root918	Soil773	Root241	Root1304	Root935	Root100	Root710	Root135	Soil787	Soil764	Root70	Root656	Root552	Root431	Root418	Root149	Root1217	Root1203
input1A	4539	2635	120	337	907	3869	3882	1050	501	2021	898	1367	664	851	987	203	394	333	338	145	63	272	389	333	468	441	161	632	769	388	3928	59	0	3482	2127	207	771	1029	1296	498	148	71	214	330	313	270	104	264	178	452	1321	0	685	522	715	879	50	1465	5	538	796	41	1331	0	866	341	248	186	191	1346	227	68	90	13	178	94	0	1776	238	0	51	174	246	346	193	838	0	136	1319	669	27	0	911	711	2448	2949	2306	708	1394	1560	78	107	29	36	0	1325	0	373	40	913	1	39	562	277	208	484	0	32	168	56	1	1179	1668	0	151	1	0	417	16	1061
input1B	4310	2673	150	393	969	3761	4562	1115	620	2388	990	1503	751	1016	1018	232	463	316	342	140	95	302	442	358	513	423	196	599	949	423	4024	90	0	3301	2527	147	807	958	1459	529	192	85	236	325	316	348	93	269	219	491	1544	0	854	584	844	842	53	1696	13	513	980	55	1511	0	962	406	300	190	188	1551	235	69	101	19	192	86	0	1896	281	0	61	191	242	328	207	857	0	125	1583	690	18	0	956	750	2501	3560	2289	904	1426	1627	66	125	27	40	0	1279	0	370	67	1095	1	39	638	300	210	437	0	41	133	72	0	1342	1849	0	149	1	0	354	14	1001
input1C	5537	3340	165	467	1294	5290	5590	1468	737	2826	1273	1914	921	1165	1292	308	528	399	453	179	103	396	574	449	582	625	255	821	1267	568	5287	122	0	4740	3059	252	1101	1552	1845	762	229	96	288	412	385	368	113	312	277	615	1763	0	1033	666	1021	1283	90	2055	13	752	1182	79	1940	0	1232	460	360	246	222	1860	301	92	128	28	244	102	0	2642	379	0	102	196	345	449	286	1170	0	163	1997	889	37	0	1268	933	3406	3828	3154	989	1900	2034	109	152	31	56	1	1690	0	490	59	1205	5	60	816	422	332	705	0	47	240	67	0	1618	2190	0	213	0	0	509	16	1354
input2A	3078	1784	108	256	628	2711	2306	789	386	1413	674	1114	525	523	785	146	285	222	258	89	47	215	265	216	380	241	149	393	651	350	3522	54	0	2622	1470	125	642	714	1006	360	94	48	129	195	230	205	55	179	155	354	779	1	565	379	516	551	49	984	3	394	630	34	955	0	603	251	171	128	138	1049	100	49	63	9	145	50	0	1177	110	0	58	138	165	265	145	556	0	86	1113	470	16	0	751	565	2051	2699	1871	458	1105	1264	44	56	24	37	0	880	0	221	20	681	5	30	417	219	190	295	0	25	117	47	0	822	1063	0	117	0	0	271	17	689
input2B	3374	1974	126	313	764	3195	2913	930	446	1796	870	1153	564	691	793	140	301	308	287	98	73	284	287	257	404	302	184	513	706	429	3850	64	0	2883	1670	124	746	825	1134	429	109	39	223	272	204	226	76	214	184	391	957	0	646	448	690	663	52	1376	6	442	801	55	1220	0	788	331	198	143	147	1213	111	53	76	14	142	72	0	1550	149	0	62	140	172	300	194	693	0	98	1222	474	21	0	872	610	2342	2928	2321	519	1173	1452	73	59	19	26	0	1023	0	284	33	741	2	24	484	214	205	287	0	21	148	36	0	954	1388	0	129	0	1	340	11	753
input2C	2839	1882	91	273	692	2373	2747	893	344	1567	680	1105	521	657	737	136	279	261	254	99	48	225	292	225	338	263	174	433	640	340	3465	32	0	2447	1730	117	697	617	1023	373	101	56	146	225	206	203	61	153	146	304	901	0	582	422	560	666	44	1081	5	380	659	30	976	0	607	316	195	134	129	1157	113	58	72	9	126	72	0	1347	118	0	35	118	150	240	146	481	0	67	1069	383	25	0	791	549	2090	2819	1963	535	1059	1284	49	52	21	22	0	901	0	241	38	746	0	21	409	184	161	283	0	15	120	40	0	807	1188	0	96	0	0	220	12	598
input3A	3065	1761	93	287	680	2866	3120	859	447	1676	1074	1144	491	632	624	163	357	284	231	109	51	260	280	289	440	288	133	499	702	376	3252	52	0	2675	1499	132	742	764	1032	344	134	66	166	213	263	261	96	199	163	351	882	0	659	463	592	710	49	1308	7	454	779	37	1065	0	737	306	203	154	164	1132	125	62	88	7	162	53	0	1363	290	0	47	124	197	268	163	350	0	111	1247	435	23	0	814	519	1977	2712	1985	482	1126	1176	53	53	8	31	0	859	0	240	31	694	2	31	446	229	144	379	0	33	119	42	0	939	1125	0	116	0	0	292	13	692
input3B	3583	2056	121	304	726	3328	3133	798	428	1677	954	1162	504	705	813	177	363	347	274	137	65	278	275	248	437	330	144	518	767	431	3634	69	0	3073	1687	143	730	797	1139	423	139	53	181	220	238	281	88	208	165	363	966	0	667	462	627	712	58	1185	9	428	831	52	1084	0	791	335	196	153	142	1273	127	52	79	12	177	58	0	1400	299	0	48	140	185	307	182	354	0	92	1222	513	24	0	800	556	2302	2844	2185	598	1117	1356	61	63	20	37	0	977	0	286	37	732	1	32	428	212	200	356	0	28	115	43	0	952	1251	0	127	0	0	320	8	767
input3C	2935	1738	78	248	653	2638	2482	765	393	1628	964	991	446	559	830	154	354	232	253	100	51	190	285	262	364	269	134	457	673	378	3403	70	0	2373	1372	150	667	709	945	330	129	46	164	200	224	238	77	197	161	378	750	0	566	366	572	647	45	1182	6	412	724	38	1045	0	664	257	193	118	142	1169	97	42	79	8	151	42	0	1235	240	0	39	129	170	259	149	341	0	103	1220	439	20	0	798	457	2088	2317	1973	374	958	1226	66	52	13	35	0	867	0	238	22	562	1	27	430	187	145	320	0	32	102	48	0	898	1009	0	108	1	0	294	8	652
Matrix-3-full-B1A	27	38	1	153	11	42	58	13	6	10	10	11	76	43	5	81	0	2	233	0	199	10	10	3	6	332	2	15	3	6	120	0	0	81	5	2	25	10	17	2	57	2	0	2	2503	5	5	21	1	0	6	0	3	1	53	1	1	138	11	6	6470	1	22430	0	8	1	53	5	0	10	0	0	2108	0	3	0	0	13	0	0	1	0	900	3	1	308	0	2	5	1	0	0	26	25	68	311	114	41	26	218	0	15	0	41	0	10	0	2	0	44	0	0	4	612	11	14	0	1	2	26	0	3108	8	0	0	0	0	4	0	25
