	Root100	Root101	Root107	Root112D2	Root1203	Root1212	Root1217	Root122	Root1220	Root123D2	Root1252	Root1277	Root1280	Root1304	Root131	Root1310	Root135	Root136	Root137	Root149	Root151	Root154	Root157	Root16D2	Root170	Root172	Root179	Root180	Root186	Root189	Root190	Root198D2	Root219	Root22	Root224	Root227	Root239	Root241	Root264	Root265	Root267	Root268	Root274	Root318D1	Root322	Root329	Root332	Root335	Root336D2	Root342	Root343	Root344	Root369	Root381	Root4	Root401	Root411	Root413D1	Root418	Root420	Root431	Root436	Root444D2	Root456	Root472D3	Root482	Root483D1	Root487D2Y	Root491	Root53	Root552	Root554	Root558	Root562	Root564	Root565	Root569	Root60	Root604	Root61	Root627	Root63	Root630	Root635	Root656	Root670	Root68	Root682	Root685	Root690	Root695	Root70	Root700	Root708	Root710	Root720	Root76	Root79	Root81	Root83	Root9	Root901	Root918	Root920	Root935	Soil522	Soil535	Soil538	Soil728	Soil729	Soil736	Soil745	Soil748	Soil750	Soil756	Soil761	Soil762	Soil763	Soil764	Soil766	Soil768D1	Soil772	Soil773	Soil782	Soil787	Soil797	Soil803	Soil805	Soil809	Soil810
DepExp-input-1-A	8	763	118	0	360	247	23	17	20	42	1097	138	19	72	15310	101	21	12	272	230	67	243	18	231	561	65	499	182	0	244	46	0	1303	1063	77	422	721	119	6	74	574	0	332	116	667	1108	154	1	0	16	0	210	6	93	725	725	486	22	0	0	0	8	94	38	67	2045	53	27	878	202	14	59	1337	2427	199	2638	4310	1316	653	240	131	193	386	7	75	149	3201	202	39	209	192	347	65	312	59	422	247	126	245	210	712	0	261	1668	0	4	120	51	91	44	93	52	101	14	137	281	231	537	407	89	47	351	175	98	3	38	36	126	1681	269
DepExp-input-1-B	3	866	126	0	295	212	18	24	9	40	1040	176	18	67	16014	87	26	13	354	225	82	250	10	203	614	54	582	227	0	325	57	0	1594	1400	87	471	724	125	8	56	800	0	308	136	698	1225	127	1	0	21	0	212	5	103	726	829	576	19	0	0	0	3	84	25	66	1831	47	19	769	217	17	72	1201	2731	190	2857	4922	1317	708	214	163	191	450	18	80	158	3713	208	50	220	213	398	59	304	61	430	329	127	265	246	792	0	359	1743	0	4	159	53	108	56	95	38	177	9	150	280	258	584	419	81	42	382	247	100	2	48	20	142	1720	310
DepExp-input-2-A	1	447	100	1	206	208	12	32	16	41	782	102	4	58	12295	56	8	3	209	220	60	191	12	196	554	51	323	145	0	194	31	4	1070	702	78	338	813	117	6	37	524	0	306	92	553	1046	120	18	0	24	0	148	4	111	486	1357	438	16	0	0	0	6	60	26	44	1494	91	11	771	147	11	89	1088	2641	195	2257	4107	934	708	143	142	132	263	11	44	110	3072	138	46	161	127	305	51	243	49	329	232	82	129	160	663	0	233	1145	0	3	84	30	81	44	79	52	76	11	95	212	178	414	302	55	40	294	158	66	1	51	5	93	1209	264
DepExp-input-2-B	3	614	92	0	213	229	9	22	10	34	797	104	8	66	12574	56	16	8	241	220	90	188	11	202	535	54	405	153	0	189	29	2	1150	906	58	342	795	98	6	35	610	0	283	125	499	1113	110	24	0	18	0	170	5	102	527	1467	531	11	0	0	0	7	86	31	46	1409	85	23	662	119	5	61	1046	3036	159	2312	4621	896	692	159	146	113	333	11	56	96	3539	117	55	182	111	289	42	230	42	347	290	82	179	155	718	0	262	1167	0	5	79	32	94	40	88	61	92	15	129	230	149	414	248	55	48	342	200	81	0	60	12	108	1274	294
DepExp-input-3-A	7	448	154	0	310	241	11	21	8	24	860	126	19	105	17248	76	11	19	233	248	68	81	6	195	730	52	152	185	0	167	29	3	1227	1163	55	368	1720	70	12	28	584	0	224	66	725	1036	112	3	0	5	0	174	6	76	576	1374	278	9	0	0	0	0	90	29	57	1491	70	6	1005	194	17	31	1511	2711	150	2284	4123	776	659	170	114	300	282	3	54	60	3107	179	41	252	187	244	48	221	88	495	324	156	337	63	562	0	253	1264	0	13	131	37	85	43	84	29	88	10	157	319	251	535	412	65	21	201	206	106	0	49	16	122	997	213
DepExp-input-3-B	3	613	137	0	274	228	12	34	2	28	796	108	23	103	17392	82	18	24	283	268	119	112	12	176	798	40	202	193	0	162	39	1	1297	1415	45	360	1713	87	11	22	696	0	198	106	701	1144	103	1	0	5	0	171	3	68	602	1595	330	8	0	0	0	2	92	29	45	1453	77	12	957	187	8	36	1313	2954	140	2333	4767	859	654	180	131	275	332	4	29	67	3309	176	32	269	162	302	48	190	86	504	344	186	323	63	616	0	327	1351	0	9	127	49	101	66	106	43	100	7	163	302	237	545	398	80	22	252	237	107	0	67	24	132	1105	251
DepExp-Str-M9-F-1-A	0	3	1	0	0	0	0	0	1	1	20	0	219	0	4125	0	0	0	0	1	0	0	0	0	1848	0	19	0	0	0	0	0	143	627	0	14	5	1	0	0	38	0	0	1	53	1085	0	0	0	0	0	1	0	0	2	463	30	0	0	0	0	0	1	0	0	6	0	0	625	1	0	0	134	5312	2	5323	49391	34	3	3	0	1	2	0	1	9	876	1	0	0	0	6	0	0	0	0	0	0	0	47	1640	0	119	1794	0	0	1	0	0	0	1	0	2	0	0	1	1	21	9	1	0	3	7	0	0	0	1	0	12	1
DepExp-Str-M9-F-1-B	0	3	0	0	0	0	0	0	0	0	7	0	268	0	4429	1	0	0	1	3	0	0	0	0	2004	1	13	0	0	0	0	0	172	837	1	18	6	0	0	0	32	0	1	2	62	1248	1	1	0	0	0	4	0	0	4	573	50	0	0	0	0	0	0	0	0	6	0	0	662	0	0	0	136	6050	4	5608	56660	37	1	3	0	0	0	0	0	3	1064	1	0	0	0	5	0	1	0	1	0	0	0	27	1868	0	141	1876	0	0	0	0	0	0	1	1	2	0	0	2	2	13	6	0	0	5	9	0	0	0	0	0	15	1
DepExp-Str-M9-F-2-A	0	7	1	0	0	4	0	0	0	0	14	0	433	0	3584	0	0	0	3	0	1	1	0	0	2307	0	27	1	0	0	0	0	182	1869	0	51	21	0	0	0	35	0	1	5	61	372	1	0	0	0	0	2	0	0	4	421	58	0	0	0	0	0	0	0	0	16	0	0	1527	1	0	0	329	393	2	6040	36186	42	1	4	0	7	2	0	1	2	836	2	0	0	0	5	0	1	0	0	1	1	0	30	2693	0	327	3089	0	0	1	0	0	0	1	0	4	0	1	9	0	45	10	0	0	11	4	1	0	0	0	2	14	3
DepExp-Str-M9-F-2-B	0	10	0	0	2	2	0	0	0	0	25	3	475	3	3952	2	0	0	1	2	0	2	0	2	2514	0	31	0	0	0	0	0	206	2603	0	47	16	0	0	0	57	0	0	6	64	421	0	0	0	0	0	2	0	0	6	524	55	1	0	0	0	0	0	0	1	21	1	0	1447	1	0	0	302	461	3	6923	42168	42	4	6	1	1	3	0	0	2	949	0	1	0	0	10	0	0	0	0	1	1	1	42	3226	0	457	3220	0	0	1	0	0	0	1	1	3	0	2	4	4	53	17	0	0	8	9	0	0	0	0	1	18	0
DepExp-Str-M9-F-3-A	0	7	0	0	1	3	0	0	0	1	25	0	473	1	2498	0	1	0	3	3	0	0	0	0	2893	1	43	0	0	1	0	0	214	1404	0	49	10	0	0	0	59	0	3	5	43	468	0	0	0	0	0	1	0	0	2	548	55	0	0	0	0	0	1	0	0	27	0	0	2063	1	0	0	387	354	2	7750	34073	40	2	1	4	9	1	0	0	2	1018	0	0	1	1	14	0	1	0	0	0	0	0	51	2234	0	211	3283	0	0	3	0	1	0	0	0	2	0	1	4	1	35	10	0	0	10	6	0	0	0	0	0	22	4
DepExp-Str-M9-F-3-B	0	10	0	0	3	3	0	0	0	0	30	1	490	1	2581	1	0	0	0	1	0	3	0	0	3153	0	39	1	0	0	0	0	281	1854	0	45	4	0	0	0	83	0	0	4	63	448	0	0	0	0	0	2	0	0	3	538	76	0	0	0	0	0	1	0	0	26	0	0	1830	2	0	1	323	434	3	7914	38100	41	2	7	3	2	5	0	0	3	1224	2	0	1	1	5	0	1	0	0	0	0	1	57	2460	0	270	3242	0	0	0	0	2	0	1	2	10	0	1	3	0	45	14	0	0	16	19	0	0	0	0	0	33	5
