	compart	Phylum	Class	Order	Family
137	Root	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae
485	Root	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae
930	Root	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae
85	Root	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae
101	Root	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae
181	Root	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae
456	Root	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae
563	Root	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae
4	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
53	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
60	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
61	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
81	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
166	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
180	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
227	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
322	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
332	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
553	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
1293	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
112D2	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
280D1	Root	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
135	Root	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae
265	Root	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae
136	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae
79	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
122	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
140	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
151	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
190	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
224	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
236	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
240	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
344	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
614	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
682	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
1257	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
472D3	Root	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
22	Root	Actinobacteria	Actinobacteria	Actinomycetales	Promicromonosporaceae
918	Root	Actinobacteria	Actinobacteria	Actinomycetales	Promicromonosporaceae
63	Root	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae
107	Root	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae
187	Root	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae
264	Root	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae
369	Root	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae
431	Root	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae
1295	Root	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae
1304	Root	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae
1310	Root	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae
1319	Root	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae
186	Root	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
420	Root	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
901	Root	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
935	Root	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
11	Root	Firmicutes	Bacilli	Bacillales	Bacillaceae
131	Root	Firmicutes	Bacilli	Bacillales	Bacillaceae
147	Root	Firmicutes	Bacilli	Bacillales	Bacillaceae
239	Root	Firmicutes	Bacilli	Bacillales	Bacillaceae
920	Root	Firmicutes	Bacilli	Bacillales	Bacillaceae
444D2	Root	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
83	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae
170	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae
565	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae
123D2	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae
77	Root	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
342	Root	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
343	Root	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
656	Root	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
700	Root	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
1277	Root	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
1455	Root	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
487D2Y	Root	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
29	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
70	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
217	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
219	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
267	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
275	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
402	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
404	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
411	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
434	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
473	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
568	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
1217	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
1221	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
1238	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
16D2	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
318D1	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
105	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae
436	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae
635	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae
685	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae
413D1	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae
381	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae
670	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae
483D1	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae
1280	Root	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
133	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
189	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
335	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
418	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
198D2	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
336D2	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
100	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae
102	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae
157	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae
172	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae
552	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae
554	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae
695	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae
9	Root	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
68	Root	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
71	Root	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
329	Root	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
401	Root	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
562	Root	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
569	Root	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
31	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
73	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
74	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
127	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
142	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
149	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
231	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
258	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
268	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
274	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
278	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
423	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
482	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
491	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
558	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
564	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
651	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
708	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
954	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
1203	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
1212	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
1220	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
1240	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
1252	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
1298	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
1312	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
1334	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
483D2	Root	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
50	Root	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
154	Root	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
214	Root	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
241	Root	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
710	Root	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
720	Root	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
1294	Root	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
65	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
76	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
96	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
179	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
480	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
559	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
561	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
604	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
627	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
630	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
667	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
690	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
916	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
983	Root	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
728	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae
729	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae
748	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae
756	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae
803	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae
810	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae
811	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae
535	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
809	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
736	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
761	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
762	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
763	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
764	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
782	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
538	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae
774	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
777	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
796	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
797	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
805	Soil	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae
531	Soil	Firmicutes	Bacilli	Bacillales	Bacillaceae
745	Soil	Firmicutes	Bacilli	Bacillales	Bacillaceae
768D1	Soil	Firmicutes	Bacilli	Bacillales	Bacillaceae
522	Soil	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
750	Soil	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
766	Soil	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
787	Soil	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
724D2	Soil	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
772	Soil	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
773	Soil	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
